반복(Epoch): 7300, 트레이닝 데이터 정확도: 0.703125, 손실 함수(loss): 0.817261, 테스트 정확도: 0.641000
반복(Epoch): 7400, 트레이닝 데이터 정확도: 0.578125, 손실 함수(loss): 1.113316, 테스트 정확도: 0.640000
반복(Epoch): 7500, 트레이닝 데이터 정확도: 0.726562, 손실 함수(loss): 0.794378, 테스트 정확도: 0.615000
반복(Epoch): 7600, 트레이닝 데이터 정확도: 0.664062, 손실 함수(loss): 0.822773, 테스트 정확도: 0.630000
반복(Epoch): 7700, 트레이닝 데이터 정확도: 0.687500, 손실 함수(loss): 0.981507, 테스트 정확도: 0.620000
반복(Epoch): 7800, 트레이닝 데이터 정확도: 0.664062, 손실 함수(loss): 0.900730, 테스트 정확도: 0.593000
반복(Epoch): 7900, 트레이닝 데이터 정확도: 0.617188, 손실 함수(loss): 0.991648, 테스트 정확도: 0.575000
반복(Epoch): 8000, 트레이닝 데이터 정확도: 0.718750, 손실 함수(loss): 0.830259, 테스트 정확도: 0.637000
반복(Epoch): 8100, 트레이닝 데이터 정확도: 0.679688, 손실 함수(loss): 0.961134, 테스트 정확도: 0.599000
반복(Epoch): 8200, 트레이닝 데이터 정확도: 0.765625, 손실 함수(loss): 0.813181, 테스트 정확도: 0.655000
반복(Epoch): 8300, 트레이닝 데이터 정확도: 0.640625, 손실 함수(loss): 1.053174, 테스트 정확도: 0.612000
반복(Epoch): 8400, 트레이닝 데이터 정확도: 0.742188, 손실 함수(loss): 0.975116, 테스트 정확도: 0.655000
반복(Epoch): 8500, 트레이닝 데이터 정확도: 0.648438, 손실 함수(loss): 0.995618, 테스트 정확도: 0.609000
반복(Epoch): 8600, 트레이닝 데이터 정확도: 0.703125, 손실 함수(loss): 0.858360, 테스트 정확도: 0.612000
반복(Epoch): 8700, 트레이닝 데이터 정확도: 0.710938, 손실 함수(loss): 0.900499, 테스트 정확도: 0.642000
반복(Epoch): 8800, 트레이닝 데이터 정확도: 0.632812, 손실 함수(loss): 1.268991, 테스트 정확도: 0.537000
반복(Epoch): 8900, 트레이닝 데이터 정확도: 0.679688, 손실 함수(loss): 0.881711, 테스트 정확도: 0.616000
반복(Epoch): 9000, 트레이닝 데이터 정확도: 0.671875, 손실 함수(loss): 1.067366, 테스트 정확도: 0.635000
반복(Epoch): 9100, 트레이닝 데이터 정확도: 0.632812, 손실 함수(loss): 1.182564, 테스트 정확도: 0.602000
반복(Epoch): 9200, 트레이닝 데이터 정확도: 0.695312, 손실 함수(loss): 1.053354, 테스트 정확도: 0.650000
반복(Epoch): 9300, 트레이닝 데이터 정확도: 0.671875, 손실 함수(loss): 0.925144, 테스트 정확도: 0.586000
반복(Epoch): 9400, 트레이닝 데이터 정확도: 0.507812, 손실 함수(loss): 1.469597, 테스트 정확도: 0.564000
반복(Epoch): 9500, 트레이닝 데이터 정확도: 0.726562, 손실 함수(loss): 0.793975, 테스트 정확도: 0.613000
반복(Epoch): 9600, 트레이닝 데이터 정확도: 0.679688, 손실 함수(loss): 0.919482, 테스트 정확도: 0.647000
반복(Epoch): 9700, 트레이닝 데이터 정확도: 0.656250, 손실 함수(loss): 1.124380, 테스트 정확도: 0.615000
반복(Epoch): 9800, 트레이닝 데이터 정확도: 0.757812, 손실 함수(loss): 0.707922, 테스트 정확도: 0.628000
반복(Epoch): 9900, 트레이닝 데이터 정확도: 0.671875, 손실 함수(loss): 0.990330, 테스트 정확도: 0.661000

테스트 데이터 정확도: 0.655900
